freq,temp,b_pk,b_pp_half,waveform,b_form,crest_dB,duty_pos,purity,p_ml,p_se,in_dist,nn_dist,g4_ok,g5_ok,gate_pass
49960.0,25.0,0.100080064051241,0.10007492982011808,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,26310.642276312865,34297.365056213814,True,0.06581428747568917,True,True,True
51951.12678171542,25.0,0.09624430324694683,0.09623936579509947,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,25850.67721093694,34003.314842046995,True,0.0729841232597727,True,True,True
54021.60876480931,25.0,0.09255555534764255,0.09255080713312681,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,25850.67721093694,33711.78568243669,True,0.14403529091333112,True,True,True
56174.608604740504,25.0,0.08900818580119232,0.08900361957112377,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,25850.67721093694,33422.755962992494,True,0.2179016300740164,True,True,True
58413.41500276461,25.0,0.08559677601049961,0.08559238478997452,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,29622.03420601179,33136.204254636556,True,0.17903165865782128,True,True,True
60741.44772941513,25.0,0.08231611505661662,0.0823118921380579,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,29622.03420601179,32852.109312014014,True,0.10265381999336687,True,True,True
63162.262848194354,25.0,0.07916119173907869,0.07915713067198998,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,24959.467312247958,32570.450071917803,True,0.04069312066106418,True,True,True
65679.55814744948,25.0,0.07612718692131097,0.07612328150242363,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,23958.41106669647,32291.205651728094,True,0.069016543339579,True,True,True
68297.17878873505,25.0,0.07320946616940935,0.07320571043320692,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,23958.41106669647,32014.35534786263,True,0.13264043408886225,True,True,True
71019.12318028537,25.0,0.07040357267305689,0.07039996088266277,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,23958.41106669647,31739.878634242556,True,0.1825532233285738,True,True,True
73849.54908457315,25.0,0.06770522043775726,0.0677017470761717,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,30319.42121364665,31467.755160770736,True,0.14001800704507564,True,True,True
76792.7799692789,25.0,0.06511028773799125,0.06510694749966411,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,30319.42121364665,31197.964751822183,True,0.07568334469748304,True,True,True
79853.31161137689,25.0,0.06261481082129144,0.06261159860401799,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,17850.90409660857,30930.487404748666,True,0.026414035620455755,True,True,True
83035.81896442086,25.0,0.060214977853622384,0.060211888750749676,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,15661.85151989857,30665.30328839613,True,0.06134478619524971,True,True,True
86345.1632995237,25.0,0.05790712309681371,0.057904152389745715,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,15661.85151989857,30402.392741633597,True,0.11941325419014209,True,True,True
89786.39963093423,25.0,0.05568772130915631,0.05568486446014626,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,19836.989169067343,30141.736271895694,True,0.17345538525453166,True,True,True
93364.78443755879,25.0,0.05355338236060447,0.05355063500582348,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,19836.989169067343,29883.314553737877,True,0.11656264049052004,True,True,True
97085.78369221666,25.0,0.05150084605436263,0.05149820399723391,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,19836.989169067343,29627.10842740308,True,0.06272340172422226,True,True,True
100955.0812108998,25.0,0.04952697714694291,0.04952443635173157,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,22635.46629587592,29373.098897401396,True,0.026514552683118708,True,True,True
104978.5873347844,25.0,0.04762876055909034,0.04762631714473878,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,20287.561897971056,29121.267131101922,True,0.05945215718340816,True,True,True
